Date,Open,High,Low,Close,Volume,VIX,RSI_14d,MACD,MACD_Signal,MACD_Diff,Historical_Vol_30d,Bollinger_Band_Width,ATR_14d,Distance_to_MA200,Volume_Ratio,SPY_QQQ_Correlation,Return_20d,Cumulative_Max,Drawdown,Drawdown_30d,Drawdown_Group
2014-10-16,83.05413202941749,85.03817574728687,83.02657703464975,84.31253051757812,93165800,25.200000762939453,28.490452248474284,-1.3903363026544469,-0.7341436217093409,-0.656192680945106,0.1654425876829538,0.103679316717356,1.460258780898488,0.290485116814917,1.6054638896076208,0.9272856623510308,-8.248554735726065,84.31253051757812,0.0,0,0
2014-10-17,85.42396545410156,86.24146305749403,84.92795449116403,85.42396545410156,69546700,21.989999771118164,35.549116688939094,-1.4323592139899688,-0.8737867401654665,-0.5585724738245023,0.1702899096520651,0.105561837455166,1.493735477971161,1.5752195368253603,1.1755320866185983,0.9307357967101246,-6.981437061525631,85.42396545410156,0.0,0,0
2014-10-20,85.41479838351157,86.77423693866241,85.24028102750873,86.70075225830078,41479300,18.56999969482422,42.56315460215647,-1.3471080266501758,-0.9684509974624084,-0.3786570291877673,0.1771102363023396,0.1048371326023694,1.4966083660556266,3.044230924130148,0.7053948224200638,0.9320628014037026,-4.704690006665779,86.70075225830078,0.0,0,0
2014-10-21,87.77546294851237,88.97875213623047,87.55501585624337,88.97875213623047,53609800,16.079999923706055,52.49629762704773,-1.083243339450533,-0.9914094658600334,-0.0918338735904995,0.1936758444702782,0.1025143525505589,1.5524220454752025,5.685096377833205,0.8967254012008069,0.9391037570676284,-1.933526725806678,88.97875213623047,0.0,0,0
2014-10-22,89.25428839057693,89.37370275222543,88.46434556934796,88.51946258544922,39178000,17.8700008392334,50.59638701974164,-0.9008055761575804,-0.9732886879195428,0.0724831117619625,0.1922059027185946,0.0968499062378348,1.506488841003936,5.080846332105583,0.6535666953568956,0.939538771120358,-3.475536033584825,88.97875213623047,-0.5161789076093775,0,0
2014-10-23,89.41041737213352,90.34732934206536,89.25426771310603,89.851318359375,48123800,16.530000686645508,55.61305193351309,-0.641359510972066,-0.9069028525300477,0.2655433415579815,0.1978289711125377,0.0969675202580352,1.529444406404808,6.5950094285259695,0.816779244990324,0.9425936960717268,0.0818450288046834,89.851318359375,0.0,0,0
2014-10-24,90.04422563900536,90.65046372340385,89.68599659200068,90.58616638183594,43157600,16.110000610351562,58.13881668744554,-0.3721605064170319,-0.7999543833074445,0.4277938768904126,0.1989310044437364,0.0965999250247155,1.489088886761834,7.39310467329449,0.7406290033472596,0.9385814508208932,-0.1619414610922187,90.58616638183594,0.0,0,0
2014-10-27,90.4116452098952,90.81580394707464,90.03504147608986,90.65046691894533,29545700,16.040000915527344,58.36208564019399,-0.151879072464439,-0.6703393211388435,0.5184602486744045,0.1968800440245056,0.0966910415948974,1.4384941427777578,7.396901677945689,0.5086920665200916,0.937998760728604,0.0405576495793758,90.65046691894533,0.0,0,0
2014-10-28,91.07298112184196,92.03744115015526,91.00868378662108,92.01907348632812,34495100,14.390000343322754,62.89798149761459,0.1316135044971957,-0.5099487560116357,0.6415622605088315,0.2001128755818882,0.1007352475158354,1.434814149094343,8.928532999264696,0.5976826717057029,0.9397715069397335,1.4070386741836582,92.01907348632812,0.0,0,0
2014-10-29,91.71594918156252,91.96395818016306,91.0270461977132,91.67920684814452,40552800,15.149999618530272,61.11743298253547,0.3251113357716235,-0.3429367376549839,0.6680480734266074,0.2004353963100348,0.1056052587333141,1.4031865162029555,8.448615511803121,0.7135289381988483,0.939434078145827,2.6746153646346027,92.01907348632812,-0.36934368637617737,0,0
2014-10-30,91.265869835276,92.09255483535496,91.0637905010474,91.87210083007812,35935800,14.520000457763672,61.7787606530849,0.4883947823571617,-0.1766704336525547,0.6650652160097165,0.1993350177850304,0.1105339513361326,1.3764420746389994,8.60210187778865,0.6427912923618383,0.9367947010551808,2.8906437977120003,92.01907348632812,-0.15971977404427648,0,0
2014-10-31,93.39689121631643,93.46118855958012,92.83658279306802,93.13970184326172,54254100,14.029999732971191,65.88509674120829,0.7118768252367573,0.0010390181253076,0.7108378071114497,0.2032434457144152,0.1183181446867313,1.3916310499863551,10.016739170642134,0.9596181627398256,0.939090359404189,3.2902424535682817,93.13970184326172,0.0,0,0
2014-11-03,93.30503268034072,93.66326171302948,93.16725066594864,93.41525268554688,33481000,14.729999542236328,66.72206679770157,0.9008383012336908,0.1809988747469842,0.7198394264867065,0.2011751133678169,0.1263500735772621,1.329625965685027,10.253557955081636,0.5935369865495559,0.9418683371420716,3.817879981336026,93.41525268554688,0.0,0,0
2014-11-04,93.12130345246231,93.34175743712086,92.46914284891764,93.10293579101562,22773300,14.890000343322754,64.78207866126658,1.0137049099155746,0.3475400817807023,0.6661648281348722,0.2012812481762311,0.1325923543939542,1.3022319564667568,9.802682544473612,0.4118863260804277,0.9423615262744056,4.960135029481783,93.41525268554688,-0.334331798665221,0,0
2014-11-05,93.71836786821974,93.71836786821974,92.79064315114228,93.11213684082033,25818600,14.170000076293944,64.81453648871988,1.091314958754296,0.4962950571754211,0.595019901578875,0.1991332747658399,0.1375884152416617,1.275481439367521,9.732677071468403,0.4840872075456451,0.9373358072745992,2.9659982726501166,93.41525268554688,-0.3244821761033957,0,0
2014-11-06,93.10294788217236,93.43362189422136,92.69878919902716,93.40606689453124,24671900,13.670000076293944,65.89585633281975,1.1631313265592524,0.6296623110521874,0.533469015507065,0.1883655324751499,0.1430740797003782,1.236863671926567,9.994412857350426,0.4795936189608199,0.9369131715514988,4.986582244657467,93.41525268554688,-0.009833288196051124,0,0
2014-11-07,93.57141908741085,93.6081614289223,92.83658627295164,93.32341003417967,20931700,13.119999885559082,65.28821780259042,1.199548944081414,0.7436396376580328,0.4559093064233812,0.1863985429834777,0.1444301717131552,1.2036287779297172,9.80294752297524,0.4305963099679578,0.9363415666597172,7.5815336434870595,93.41525268554688,-0.09831654759460018,0,0
2014-11-10,93.36933886767368,93.77349060487047,93.121329816688,93.65408325195312,20360000,12.670000076293944,66.61454095412753,1.2407896823717977,0.8430696466007858,0.3977200357710119,0.1864047607966189,0.1410736343143235,1.1642382072334851,10.090636438298576,0.4466169370260248,0.93880734660293,9.681603842072928,93.65408325195312,0.0,0,0
