Date,Open,High,Low,Close,Volume,VIX,RSI_14d,MACD,MACD_Signal,MACD_Diff,Historical_Vol_30d,Bollinger_Band_Width,ATR_14d,Distance_to_MA200,Volume_Ratio,SPY_QQQ_Correlation,Return_20d
2014-10-16,83.05413202941749,85.03817574728687,83.02657703464975,84.31253051757812,93165800,25.200000762939453,28.490452248474284,-1.3903363026544469,-0.7341436217093409,-0.656192680945106,0.16544258768295383,0.10367931671735606,1.460258780898488,0.29048511681491707,1.6054638896076208,0.9272856623510307,-8.248554735726065
2014-10-17,85.42396545410156,86.24146305749403,84.92795449116403,85.42396545410156,69546700,21.989999771118164,35.549116688939094,-1.4323592139899688,-0.8737867401654665,-0.5585724738245023,0.1702899096520651,0.105561837455166,1.4937354779711607,1.5752195368253605,1.1755320866185985,0.9307357967101246,-6.9814370615256305
2014-10-20,85.41479838351157,86.77423693866241,85.24028102750873,86.70075225830078,41479300,18.56999969482422,42.563154602156466,-1.3471080266501758,-0.9684509974624085,-0.37865702918776734,0.17711023630233966,0.10483713260236946,1.4966083660556266,3.044230924130148,0.7053948224200638,0.9320628014037026,-4.704690006665779
2014-10-21,87.77546294851237,88.97875213623047,87.55501585624337,88.97875213623047,53609800,16.079999923706055,52.49629762704773,-1.083243339450533,-0.9914094658600334,-0.09183387359049955,0.19367584447027822,0.10251435255055896,1.5524220454752025,5.685096377833205,0.8967254012008069,0.9391037570676284,-1.933526725806678
2014-10-22,89.25428839057693,89.37370275222543,88.46434556934796,88.51946258544922,39178000,17.8700008392334,50.59638701974164,-0.9008055761575804,-0.9732886879195429,0.07248311176196254,0.19220590271859464,0.09684990623783482,1.5064888410039359,5.080846332105583,0.6535666953568956,0.9395387711203581,-3.475536033584825
2014-10-23,89.41041737213352,90.34732934206536,89.25426771310603,89.851318359375,48123800,16.530000686645508,55.613051933513084,-0.641359510972066,-0.9069028525300475,0.26554334155798154,0.19782897111253778,0.0969675202580352,1.529444406404808,6.5950094285259695,0.816779244990324,0.9425936960717267,0.08184502880468347
2014-10-24,90.04422563900536,90.65046372340385,89.68599659200068,90.58616638183594,43157600,16.110000610351562,58.13881668744554,-0.3721605064170319,-0.7999543833074445,0.4277938768904126,0.19893100444373643,0.0965999250247155,1.489088886761834,7.39310467329449,0.7406290033472596,0.9385814508208933,-0.16194146109221874
2014-10-27,90.41164520989521,90.81580394707463,90.03504147608986,90.65046691894531,29545700,16.040000915527344,58.36208564019399,-0.151879072464439,-0.6703393211388435,0.5184602486744045,0.19688004402450565,0.09669104159489748,1.4384941427777578,7.396901677945689,0.5086920665200916,0.937998760728604,0.0405576495793758
2014-10-28,91.07298112184196,92.03744115015526,91.00868378662108,92.01907348632812,34495100,14.390000343322754,62.89798149761459,0.13161350449719578,-0.5099487560116357,0.6415622605088315,0.20011287558188826,0.10073524751583542,1.434814149094343,8.928532999264696,0.5976826717057029,0.9397715069397335,1.4070386741836582
2014-10-29,91.71594918156252,91.96395818016306,91.0270461977132,91.67920684814453,40552800,15.149999618530273,61.11743298253547,0.32511133577162354,-0.3429367376549839,0.6680480734266074,0.2004353963100348,0.10560525873331415,1.4031865162029555,8.448615511803121,0.7135289381988483,0.939434078145827,2.6746153646346027
2014-10-30,91.265869835276,92.09255483535497,91.06379050104741,91.87210083007812,35935800,14.520000457763672,61.7787606530849,0.4883947823571617,-0.17667043365255478,0.6650652160097165,0.19933501778503046,0.11053395133613264,1.3764420746389994,8.60210187778865,0.6427912923618383,0.9367947010551809,2.8906437977120003
2014-10-31,93.39689121631643,93.46118855958011,92.83658279306802,93.13970184326172,54254100,14.029999732971191,65.88509674120829,0.7118768252367573,0.001039018125307628,0.7108378071114497,0.20324344571441522,0.11831814468673138,1.3916310499863553,10.016739170642134,0.9596181627398256,0.939090359404189,3.2902424535682817
2014-11-03,93.30503268034072,93.66326171302947,93.16725066594864,93.41525268554688,33481000,14.729999542236328,66.72206679770157,0.9008383012336907,0.18099887474698423,0.7198394264867065,0.20117511336781696,0.12635007357726216,1.3296259656850267,10.253557955081636,0.5935369865495559,0.9418683371420717,3.8178799813360254
2014-11-04,93.12130345246231,93.34175743712086,92.46914284891763,93.10293579101562,22773300,14.890000343322754,64.78207866126658,1.0137049099155746,0.34754008178070234,0.6661648281348722,0.2012812481762311,0.13259235439395425,1.3022319564667568,9.802682544473612,0.41188632608042774,0.9423615262744056,4.9601350294817825
2014-11-05,93.71836786821974,93.71836786821974,92.79064315114229,93.11213684082031,25818600,14.170000076293945,64.81453648871988,1.091314958754296,0.4962950571754211,0.595019901578875,0.19913327476583995,0.13758841524166174,1.275481439367521,9.732677071468403,0.4840872075456451,0.9373358072745991,2.9659982726501166
2014-11-06,93.10294788217236,93.43362189422135,92.69878919902717,93.40606689453125,24671900,13.670000076293945,65.89585633281975,1.1631313265592524,0.6296623110521874,0.533469015507065,0.18836553247514998,0.14307407970037828,1.2368636719265673,9.994412857350426,0.4795936189608199,0.9369131715514989,4.986582244657467
2014-11-07,93.57141908741083,93.6081614289223,92.83658627295164,93.32341003417969,20931700,13.119999885559082,65.28821780259042,1.199548944081414,0.7436396376580328,0.45590930642338123,0.18639854298347777,0.14443017171315528,1.2036287779297172,9.80294752297524,0.43059630996795784,0.9363415666597171,7.5815336434870595
2014-11-10,93.36933886767368,93.77349060487047,93.121329816688,93.65408325195312,20360000,12.670000076293945,66.61454095412753,1.2407896823717977,0.8430696466007858,0.3977200357710119,0.1864047607966189,0.14107363431432354,1.1642382072334851,10.090636438298576,0.4466169370260248,0.9388073466029299,9.681603842072928
2014-11-11,93.67244104950865,93.947998046875,93.41524470759613,93.947998046875,15454000,12.920000076293945,67.79251667345443,1.2824069432213179,0.9309371059248923,0.35146983729642556,0.18649151797766927,0.13594078089412276,1.1191321452367269,10.332428148580947,0.36133529923678614,0.9381684972617551,10.01401223399181
2014-11-12,93.57140099101714,94.21437432340625,93.57140099101714,94.11333465576172,22050300,13.020000457763672,68.46655207626426,1.3135879802855897,1.0074672807970317,0.3061206994885579,0.17920420236837536,0.12580596991501042,1.0851208014618967,10.416423446906897,0.5737892723162933,0.9370382324066411,10.923422552564798
2014-11-13,94.28785986541118,94.86653586992045,94.07659319259324,94.51749420166016,28027800,13.789999961853027,70.11310327176031,1.3552885516721602,1.0770315349720576,0.2782570167001026,0.1792581769338717,0.10906208531549375,1.0640366497379912,10.786797971938277,0.796869928991127,0.9373138207090722,12.103733124169992
2014-11-14,94.48993759168006,94.8114242553711,94.17763125560616,94.8114242553711,19251300,13.3100004196167,71.28733320270058,1.3959624674229616,1.1408177214622386,0.255144745960723,0.17772797658095696,0.09343488452111767,1.0333049604542015,11.02412877660136,0.5894892137648226,0.9368762048370628,10.989256646383883
2014-11-17,94.59098496004354,94.80224463857662,94.07659924837344,94.52668762207031,23361600,13.989999771118164,68.48045855321881,1.3892070578199593,1.190495588733783,0.19871146908617643,0.17790919618727258,0.07897310735216179,1.0119849637787337,10.574249872794187,0.7357587985025058,0.9364795633186754,9.026375388825159
2014-11-18,94.60934210821628,95.36254241555858,94.60015477298869,95.23394775390625,26336800,13.859999656677246,71.48391329219942,1.4245025501826518,1.2372969810235568,0.18720556915909503,0.17207620255126024,0.07483402966780815,0.9994042373294146,11.283564598373944,0.8666825062211935,0.9374173293619817,7.029988022420008
2014-11-19,95.132935436953,95.132935436953,94.36136724524411,94.80226135253906,23760200,13.960000038146973,67.2704482379194,1.4014855443727754,1.2701346936934006,0.1313508506793748,0.1653517544789168,0.06394325473560121,0.9903453995674665,10.663392972522118,0.8022441036736461,0.9369441232663075,7.0976467587847925
2014-11-20,94.39807697608863,95.30743396551262,94.3245993167268,95.22476196289062,22874000,13.579999923706055,69.18487462630831,1.4011846848703158,1.2963446919287838,0.10483999294153201,0.15665698763690034,0.0582233542760471,0.9898089173687767,11.044188056557132,0.8067098623578189,0.9365957188513047,5.980372577310056
2014-11-21,96.0698264758219,96.16168582516379,95.1053663786921,95.40848541259766,34049100,12.899999618530273,70.00645185382675,1.3996370537852414,1.3170031643000755,0.08263388948516592,0.13363057301247058,0.054310468597292424,0.9945596694475564,11.153856216975447,1.2204304380170725,0.9348208126136577,5.32346077041701
2014-11-24,95.66564985965971,96.1984031124175,95.58297786835742,96.15247344970703,17928300,12.619999885559082,73.13057968206157,1.441823715538888,1.341967274547838,0.09985644099105007,0.1215807639704725,0.050976291757481154,0.9799423859027193,11.913542514758928,0.6562723235652473,0.9333339878268906,6.06947401129363
2014-11-25,96.29943084716797,96.58418212726842,96.05142890166863,96.29943084716797,17526000,12.25,73.71302052283556,1.470168001148565,1.3676074198679835,0.10256058128058143,0.1212553395354235,0.052204731621654045,0.9480003030239387,11.982502240248406,0.6621097977969719,0.9338986669235858,4.6515979771039495
2014-11-26,96.39133343815115,96.97919691378107,96.29029374628801,96.92407989501953,18973800,12.069999694824219,76.08590595136688,1.5254505649033092,1.3991760488750487,0.12627451602826056,0.11725744729816642,0.052809002157951125,0.9294933647717325,12.60324205935515,0.7472653674651392,0.9355339255008225,5.720897057456553
2014-11-28,97.18127634994022,97.59461544750489,97.11697900125492,97.3741683959961,17360400,13.329999923706055,77.65133769183548,1.5872835586363152,1.436797550827302,0.1504860078090131,0.11274041513891267,0.05391186529132072,0.9109963781798489,13.02118937550538,0.7096824040019278,0.9312230074816291,5.988833950901262
2014-12-01,97.10774561857566,97.29145023974615,95.91364455732115,96.2718734741211,35969500,14.15999984741211,66.21872279213935,1.529707151882846,1.455379471038411,0.07432768084443508,0.11916235921065768,0.05383820930426822,0.9502483396437843,11.646390230145808,1.5274983246970653,0.9315758691640011,3.362874873843036
2014-12-02,96.37291778054586,96.83218636357311,96.17083848275269,96.65766906738281,26031300,12.850000381469727,67.99479797287268,1.4979405881979204,1.4638916944703129,0.034048893727607554,0.11457556932839681,0.0546714458946022,0.9296125925849733,11.998290364000985,1.1232251997206533,0.9324591140774982,3.470971055177152
2014-12-03,96.80466698100628,96.97000401203327,96.22599087635432,96.83222198486328,32974300,12.5,68.79421774682487,1.4699061560705928,1.4650945867903689,0.004811569280223971,0.09240177009280477,0.054146459903332556,0.9163554885202577,12.100244644477963,1.3921697811893288,0.9307943284311646,4.005551664040574
2014-12-04,96.74036335441583,97.1628897378523,96.3821343117657,96.78629302978516,31008800,12.380000114440918,68.3107278949995,1.4275269418213554,1.4575810577965662,-0.030054115975210793,0.0898377038487766,0.05238624048580435,0.9066697697749965,11.949764780852282,1.2949980695387837,0.93157513112308,3.945947664423155
2014-12-05,96.9424558249472,97.08941819181358,96.58422673384636,96.79548645019531,25622200,11.890000343322754,68.35866430140514,1.3787891187035655,1.4418226699779662,-0.06303355127440069,0.08256782218614978,0.05057372532274609,0.877992747503012,11.862485329964825,1.0679222776051085,0.9316846401084272,3.6286931549009527
2014-12-08,96.54746842628077,96.96999479700052,95.6013760083774,96.1065673828125,32685800,14.210000038146973,60.921619197465056,1.2699350112422394,1.4074451382308208,-0.13751012698858145,0.08527929886361436,0.046286100001884135,0.9130374647258772,10.976490499384546,1.32975729522961,0.9322255225408322,2.9822713803679957
2014-12-09,94.98595448346855,96.48316790033711,94.64609312769068,96.40968322753906,46035100,15.350000381469727,62.83736743944136,1.1943584415998174,1.3648277989046202,-0.17046935730480284,0.08525524322499721,0.04265407915923961,0.9790401295773454,11.233999900491916,1.779888903624068,0.9375640957203588,2.9423169603536525
